"id","userid","class","subject","topic","subtopic","type","type1","type2","question","correct_ans","hint","opt_a","opt_b","opt_c","opt_d","status","created_at","updated_at","shape_info"
1,1,1,8,1,5,0,"","","What comes just before 5?","4","","10","8","4","5",0,"2023-09-04 14:54:25","2023-09-04 14:54:25",""
2,1,1,8,1,5,1,"","","What comes just after 5?","6","","6","5","4","2",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
3,1,1,8,1,5,1,"","","What comes just after 8?","9","","8","9","0","2",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
4,1,1,8,1,5,1,"","","What comes just after 3?","4","","4","7","0","9",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
5,1,1,8,1,5,1,"","","What comes just after 1?","2","","9","3","2","1",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
6,1,1,8,1,5,0,"","","What comes just before 4?","3","","1","8","0","3",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
7,1,1,8,1,5,0,"","","What comes just before 9?","8","","8","4","10","7",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
8,1,1,8,1,5,0,"","","What comes just before 4?","3","","6","5","1","3",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
9,1,1,8,1,5,0,"","","What comes just before 7?","6","","10","8","7","6",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
10,1,1,8,1,5,0,"","","What comes just before 4?","3","","0","1","7","3",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
11,1,1,8,1,5,0,"","","What comes just before 4?","3","","5","3","7","4",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
12,1,1,8,1,5,1,"","","What comes just after 2?","3","","10","3","8","5",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
13,1,1,8,1,5,0,"","","What comes just before 8?","7","","7","8","3","1",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
14,1,1,8,1,5,0,"","","What comes just before 5?","4","","4","0","6","7",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
15,1,1,8,1,5,0,"","","What comes just before 3?","2","","6","4","3","2",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
16,1,1,8,1,5,0,"","","What comes just before 9?","8","","7","8","10","9",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
17,1,1,8,1,5,1,"","","What comes just after 8?","9","","6","5","9","7",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
18,1,1,8,1,5,0,"","","What comes just before 9?","8","","2","6","10","8",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
19,1,1,8,1,5,1,"","","What comes just after 6?","7","","5","2","7","6",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
20,1,1,8,1,5,0,"","","What comes just before 3?","2","","1","8","2","5",0,"2023-09-04 14:54:27","2023-09-04 14:54:27",""
21,1,1,8,1,5,1,"","","What comes just after 1?","2","","0","2","10","8",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
22,1,1,8,1,5,0,"","","What comes just before 2?","1","","3","6","9","1",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
23,1,1,8,1,5,0,"","","What comes just before 8?","7","","7","8","3","6",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
24,1,1,8,1,5,1,"","","What comes just after 0?","1","","1","6","10","3",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
25,1,1,8,1,5,0,"","","What comes just before 1?","0","","9","2","0","5",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
26,1,1,8,1,5,1,"","","What comes just after 2?","3","","3","9","2","7",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
27,1,1,8,1,5,0,"","","What comes just before 5?","4","","4","6","10","1",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
28,1,1,8,1,5,1,"","","What comes just after 0?","1","","6","1","0","9",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
29,1,1,8,1,5,0,"","","What comes just before 2?","1","","1","10","2","3",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
30,1,1,8,1,5,1,"","","What comes just after 1?","2","","7","10","2","1",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
31,1,1,8,1,5,1,"","","What comes just after 5?","6","","5","0","1","6",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
32,1,1,8,1,5,1,"","","What comes just after 2?","3","","3","0","6","10",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
33,1,1,8,1,5,0,"","","What comes just before 9?","8","","2","3","10","8",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
34,1,1,8,1,5,1,"","","What comes just after 0?","1","","1","4","0","2",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
35,1,1,8,1,6,0,"","","What comes before 5 but after 1?","3","","3","10","9","7",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
36,1,1,8,1,6,1,"","","What comes after 0 but before 4?","2","","2","7","5","8",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
37,1,1,8,1,6,2,"","","What comes between 0 and 3?","1","","10","9","1","8",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
38,1,1,8,1,6,1,"","","What comes after 2 but before 5?","4","","10","6","4","0",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
39,1,1,8,1,6,2,"","","What comes between 2 and 7?","6","","9","8","6","10",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
40,1,1,8,1,6,0,"","","What comes before 5 but after 2?","4","","1","0","4","9",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
41,1,1,8,1,6,1,"","","What comes after 4 but before 10?","6","","2","6","1","3",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
42,1,1,8,1,6,0,"","","What comes before 5 but after 1?","3","","10","7","8","3",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
43,1,1,8,1,6,1,"","","What comes after 3 but before 8?","4","","0","2","4","1",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
44,1,1,8,1,6,0,"","","What comes before 3 but after 1?","2","","5","2","10","6",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
45,1,1,8,1,6,1,"","","What comes after 0 but before 2?","1","","1","6","9","5",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
46,1,1,8,1,6,1,"","","What comes after 2 but before 4?","3","","9","1","3","6",0,"2023-09-04 14:54:28","2023-09-04 14:54:28",""
47,1,1,8,1,6,2,"","","What comes between 0 and 2?","1","","1","6","4","7",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
48,1,1,8,1,6,1,"","","What comes after 1 but before 3?","2","","2","9","0","4",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
49,1,1,8,1,6,1,"","","What comes after 3 but before 5?","4","","4","8","2","0",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
50,1,1,8,1,6,0,"","","What comes before 4 but after 1?","2","","0","2","10","6",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
51,1,1,8,1,6,0,"","","What comes before 5 but after 2?","3","","6","10","3","1",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
52,1,1,8,1,6,1,"","","What comes after 6 but before 10?","8","","4","0","8","5",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
53,1,1,8,1,6,0,"","","What comes before 4 but after 2?","3","","9","5","6","3",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
54,1,1,8,1,6,2,"","","What comes between 1 and 5?","4","","6","9","4","8",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
55,1,1,8,1,6,0,"","","What comes before 7 but after 3?","4","","10","8","2","4",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
56,1,1,8,1,6,2,"","","What comes between 0 and 2?","1","","1","4","9","3",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
57,1,1,8,1,6,2,"","","What comes between 0 and 2?","1","","1","6","4","3",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
58,1,1,8,1,6,0,"","","What comes before 3 but after 0?","2","","8","2","4","7",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
59,1,1,8,1,6,1,"","","What comes after 4 but before 7?","5","","3","9","5","0",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
60,1,1,8,1,6,0,"","","What comes before 5 but after 0?","3","","7","3","9","10",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
61,1,1,8,1,7,2,"","","Which number is Ascending?","1, 3, 9, 10","","1, 3, 9, 10","9, 6, 3, 0","9, 5, 2, 1","6, 5, 4, 0",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
