"id","group_name","group_order","skill_id","p_text","alphabets","combinations"
1,"Group_1",1,1,"Lets Practice the Left Hand Home Keys","ASDF","AAAA SSSS DDDD FFFF FFFF DDDD SSSS AAAA"
2,"Group_2",2,1,"Practice makes a man perfect, lets try again","ASDF","AAAA SSSS DDDD FFFF FFFF DDDD SSSS AAAA"
3,"Group_3",3,1,"Lets Practice some silly combinations","ASDF","AA SS DD FF FF DD SS AA AA SS DD FF FF DD SS AA"
4,"Group_4",1,2,"Lets Practice some silly combinations","JKL;",";; LL KK JJ JJ KK LL ;; ;; LL KK JJ JJ KK LL ;;"
5,"Group_5",2,2,"Lets Practice some silly combinations","JKL;",";; JJ LL JJ KK ;; JJ KK LL JJ ;; LL JJ LL JJ ;;"
6,"Group_6",1,3,"Lets Practice some silly combinations","ASDFJKL;","ALKS FDL; DKSL A;FJ SSLS KLSA ;LFD J;AF"
7,"Group_7",2,3,"Lets Practice some silly combinations","ASDFJKL;","D;AF FKFJ A;DL SDL; ALKD LKFD JKFD SLA;"
8,"Group_8",1,4,"Lets Practice in groups of 4s","ERIU","EERR ERER IIUU IUIU RREE RERE UUII UIUI"
9,"Group_9",2,4,"Practice makes a man perfect, lets try again","ERIU","ERER IUIU UIUI RERE EIRU UREI IEUR RUEI"
10,"Group_10",3,4,"Lets mix home keys DFLK and ERIU, and try now","ERIUDFLK","DEFR EDRF DREF FERD KIJU IKUJ KUJI IJUK"
11,"Group_11",4,4,"Lets try some tough combinations now","ERIUDFLK","DJFK REIU KJFD URIE IFRK FDUJ EIRJ KFDI"
12,"Group_12",5,4,"Lets try some silly combinations","Home Keys and ERIU","FSRE SFER LKUI ;JIU AF;L ASUI RKE; I;AR"
13,"Group_13",6,4,"Lets try some real words","Home Keys and ERIU","JUKE JERK FAKE DUSK SULK DESK SIR RAJ ILK KID FUR "
14,"Exercise - 14",1,8,"Master the left-hand keys!","fgdt","fg fg fg ft ft ft dg df dg dt df"
15,"Exercise - 15",2,8,"Type through the row with finesse and accuracy!","fgrt","frt frt frt rtg rtg fgf fgt fgt fgt"
16,"Exercise - 16",3,8,"Conquer the depths of the keyboard!","defrt","dfrt dfrt dfrt dfrt dert dert dert dert"
17,"Exercise-17",1,9,"Master the right-hand keys!","hijku","jhj jhj jhj jhj jujhj jujhj jujhj jujhj hijk hujk hijk hujk"
