id,content,meaning,example,context_id
1094, Adventurous , Willing to take risks or try new experiences,Sarah is an adventurous traveler who loves exploring remote destinations.,24
1095, Ambitious , Having a strong desire to succeed or achieve goals,Mark is an ambitious student who is determined to become a successful entrepreneur.,24
1096, Amiable , Friendly and pleasant in manner,The amiable receptionist greeted the guests with a warm smile.,24
1097, Astonishing , Extremely surprising or impressive,"The magician's tricks were astonishing, leaving the audience in awe.",24
1098, Authentic , Genuine or true to its origin,The restaurant serves authentic Italian cuisine prepared by experienced chefs.,24
1099, Altruistic , Showing selfless concern for the well being of others; being generous and compassionate,Her altruistic nature led her to dedicate her life to helping those in need.,24
1100, Aquiver , Trembling or quivering with excitement or anticipation,The children were aquiver with delight as they unwrapped their presents.,24
1101, Aureate , Characterized by golden or brilliant color; grandiloquent or ornamented in style,"The sunset cast an aureate glow over the horizon, painting the sky in hues of gold.",24
1102, Anfractuous , Full of windings or intricate twists and turns; meandering or circuitous,The anfractuous path through the forest led them to a hidden waterfall.,24
1103, Ailurophilic , Having a fondness or love for cats; cat loving,"She surrounded herself with ailurophilic decorations, showcasing her adoration for feline companions.",24
1104,Alacritous ," Eager, enthusiastic, and quick in response or action",The alacritous team finished the project ahead of schedule.,24
1105, Brilliant , Exceptionally intelligent or talented,Emily's brilliant mind allowed her to solve complex problems with ease.,25
1106, Beautiful , Pleasing to the eye or aesthetically pleasing,The sunset painted a beautiful array of colors across the sky.,25
1107, Brave , Showing courage or fearlessness,The firefighter displayed brave actions while rescuing people from the burning building.,25
1108, Breathtaking , Astonishingly beautiful or stunning,"The view from the mountaintop was breathtaking, with panoramic vistas.",25
1109, Blissful , Filled with or experiencing great happiness or joy,"They spent a blissful day at the beach, enjoying the sun and waves.",25
1110,Benevolent ," Kind hearted, generous, and desiring to do good for others",The benevolent neighbor always offered a helping hand to those in the community.,25
1111,Balmy ," Mild, soothing, or pleasantly warm","They took a stroll on the beach, enjoying the balmy breeze and gentle waves.",25
1112, Bellicose , Inclined or eager to fight or engage in conflict; belligerent,His bellicose demeanor made it clear that he was ready for a confrontation.,25
1113, Bucolic , Relating to the pleasant aspects of rural life; rustic or idyllic,They moved to a small bucolic village to escape the city's hustle and bustle.,25
1114,Beleaguered ," Besieged, troubled, or surrounded by difficulties",The beleaguered team faced numerous challenges but remained resilient.,25
1115,Blithesome ," Cheerful, merry, and full of lighthearted joy","During Christmas, the old and the young can be seen together in the blithesome dance and the merry play",25
1116, Creative , Having the ability to produce imaginative and original ideas,The artist's creative approach to painting made her work stand out.,26
1117, Charming , Pleasant or attractive in a way that delights others,The charming gentleman impressed everyone with his wit and charisma.,26
1118, Courageous , Possessing or displaying bravery or valor,The courageous soldier fearlessly faced the enemy on the battlefield.,26
1119, Captivating , Attracting and holding interest or attention,The speaker delivered a captivating speech that left the audience inspired.,26
1120, Caring , Showing kindness and concern for others,The caring nurse provided comfort and support to her patients.,26
1121, Capable , Competent and skilled in performing tasks or responsibilities,She is a capable leader who successfully manages the team and achieves results.,26
1122,Captivating ," Fascinating, enchanting, and capable of capturing one's attention",The captivating storyteller held the audience spellbound with her tales.,26
1123, Cerulean , Deep sky blue in color; resembling a clear blue sky,The artist used cerulean hues to paint a serene landscape.,26
1124,Chimerical ," Imaginary, fanciful, or wildly unrealistic",The chimerical creatures in the fairy tale captured the imagination of young readers.,26
1125, Comely , Pleasing to the eye; attractive or beautiful,The bride looked comely in her elegant white gown.,26
1126,Cogent ," Convincing, logical, and persuasive in argument or presentation","The professor presented a cogent case, supported by strong evidence and reasoning.",26
1127,Dynamic ," Full of energy, action, or change",The dynamic CEO implemented innovative strategies to drive company growth.,27
1128, Delightful , Highly pleasing or enjoyable,The garden was filled with delightful flowers in vibrant colors.,27
1129, Dazzling , Brilliantly impressive or striking,The actress wore a dazzling gown that sparkled under the spotlight.,27
1130,Devoted ," Showing deep love, loyalty, or commitment",The devoted parents always put their children's needs first.,27
