"id","skill_name","skill_order","level_id"
"1","Home Keys Left Hand","1","1"
"2","Home Keys Right Hand","2","1"
"3","Home Keys Mixed Both Hands","3","1"
"4","Top Row Keys Both Hands","1","2"
"5","Bottom Row Keys Both Hands","2","2"
"6","Top and Bottom Row Keys Both Hands","3","2"
"7","All Keys Both Hands","4","2"
"8","T,G & H along with Home Keys left hand","1","3"
"9","T,G & H along with Home Keys right hand","2","3"
"10","Both Hands","3","3"
"11","Introducing W,S,L,O & Y along with Home Keys left hand","1","4"
"12","Introducing W,S,L,O & Y along with Home Keys right hand","2","4"
"13","Both Hands","3","4"
"14","Introducing V,B,N & M along with Home Keys left hand","1","5"
"15","Introducing V,B,N & M along with Home Keys right hand","2","5"
"16","Vowels with Letters","3","5"
"17","Introducing A P  Q  Z & X","1","6"
"18","Home Keys & Q","2","6"
"19","Home Keys & Z,X","3","6"
"20","Introducing Special Characters left side","1","7"
"21","Introducing Special Characters right side","2","7"
"22","Combination of Both","3","7"
"23","Introducing Capital Letters","1","8"
"24","Level - 1 Record","4","1"
"25","Level - 2 Record","5","2"
"26","Level - 3 Record","4","3"
"27","Level - 4 Record","4","4"
"28","Level - 5 Record","4","5"
"29","Level - 6 Record","4","6"
"30","Level - 7 Record","4","7"
"31","Level-8 Record","1","8"
