"id";"word";"word_definition";"antonyms";"synonyms";"example";"relevance";"has_question";"context_id"
1;"Happy";"Feeling or showing pleasure or contentment.";"Sad, unhappy, miserable, sorrowful";"Joyful, delighted, glad, cheerful";"I'm so happy that it's sunny outside and we can go play in the park.";"Prep Class";1;0
2;"Big";"Of considerable size, extent, or intensity.";"Small, tiny, little, miniature";"Large, huge, massive, gigantic";"Look at that big tree! It's so tall and has lots of leaves.";"Prep Class";1;0
3;"Brave";"Showing courage or determination in the face of danger or difficulty.";"Cowardly, timid, fearful, scared";"Courageous, fearless, bold, heroic";"The superhero was very brave and saved the city from the bad guys.";"Prep Class";1;0
4;"Funny";"Causing laughter or amusement; comical.";"Serious, unfunny, dull, boring";"Humorous, amusing, hilarious, entertaining";"The clown at the birthday party was so funny, he made us all laugh.";"Prep Class";1;0
5;"Kind";"Having or showing a friendly, generous, and considerate nature";"Cruel, unkind, selfish, mean";"Compassionate, caring, helpful, benevolent";"The neighbor was very kind and gave us some cookies to share.";"Prep Class";1;0
6;"Fast";"Moving or capable of moving at high speed.";"Slow, sluggish, leisurely, gradual";"Quick, rapid, swift, speedy";"The race car was so fast, it zoomed past all the other cars on the track.";"Prep Class";1;0
7;" Quite";"Making little or no noise; not loud or boisterous.";"Noisy, loud, disruptive, chaotic";"Silent, peaceful, calm, tranquil";"The baby was finally quiet and asleep, so everyone could talk without whispering.";"Prep Class";1;0
8;"Sad";"Feeling or showing sorrow; unhappy. ";"Happy, joyful, delighted, content";" ";"The sad puppy missed its owner and wanted to go home.";"Prep Class";1;0
9;"Loud ";"producing or capable of producing a lot of noise";"quiet, silent, hushed, muted";"noisy, boisterous, cacophonous, clamorous";"The fireworks are so loud!";"Prep Class";1;0
10;"Hot ";"having a high temperature";"cold, cool, chilly, frigid";"warm, heated, boiling, scorching";"The soup is too hot!";"Prep Class";1;0
11;"Bright ";"giving out or reflecting a lot of light";"dull, dim, dark, gloomy";"radiant, luminous, shining, brilliant";"The sun is so bright!";"Prep Class";1;0
12;"Wet ";"covered or soaked with water or another liquid";"dry, arid, parched, dehydrated";"damp, moist, soggy, drenched";"Your clothes are wet!";"Prep Class";1;0
13;"Cold ";"having a low temperature";"hot, warm, heated, boiling";"chilly, cool, icy, frigid";"The ice cream is cold!";"Prep Class";1;0
14;"Dark ";"having little or no light";"bright, light, luminous, radiant";"dim, murky, gloomy, shadowy";"It's dark outside!";"Prep Class";1;0
15;"Abridge";"To shorten or condense a piece of writing or speech.";"expand, elongate, lengthen, amplify";"abbreviate, shorten, condense, reduce";"The teacher asked us to abridge the long essay into a shorter version for the class presentation.";"5 class";1;0
16;" Ambitious";"Having a strong desire to succeed or achieve something great.";"unambitious, content, complacent, lazy";"determined, aspiring, enterprising, motivated";"Jane is an ambitious student who always works hard to achieve her goals.";"5 class";1;0
17;"Bewilder ";"To cause someone to become confused or perplexed.";"clarify, explain, enlighten, simplify";"confuse, puzzle, baffle, mystify";"The complex math problem bewildered the students, and they couldn't solve it.";"5 class";1;0
18;"Conscientious ";"Taking great care and attention to do something well and thoroughly.";"careless, negligent, sloppy, irresponsible";"diligent, careful, meticulous, scrupulous";"Mary is a conscientious student who always completes her homework on time and to a high standard.";"5 class";1;0
19;"Deprive ";"To deny someone of something essential or necessary.";"provide, bestow, endow, grant";"deny, strip, rob, divest";"The pandemic has deprived many people of their jobs and financial security.";"5 class";1;0
20;"Enthusiastic ";"Having or showing great excitement and eagerness.";"apathetic, indifferent, unenthusiastic, lethargic";"passionate, zealous, ardent, fervent";"The enthusiastic crowd cheered loudly at the concert.";"5 class";1;0
21;"Frugal ";"Careful in spending money or resources; not wasteful.";"extravagant, wasteful, prodigal, lavish";"thrifty, economical, prudent, sparing";"My frugal grandmother always saves money by buying things on sale and using coupons.";"5 class";1;0
22;"  Guilty ";"Feeling responsible for a wrongdoing or a mistake.";"innocent, blameless, faultless, unaccountable";"blameworthy, accountable, culpable, at fault";"John felt guilty for breaking his mother's vase.";"5 class";1;0
23;"Hospitality ";"The friendly and generous reception and entertainment of guests or strangers.";"hostility, unfriendliness, inhospitality, coldness";"cordiality, kindness, generosity, warmth";"The hotel staff showed great hospitality to their guests during their stay.";"5 class";1;0
24;"Impartial ";"Treating all people and situations fairly and without bias.";"biased, prejudiced, partial, unfair";"unbiased, neutral, objective, just";"The judge remained impartial during the trial and made a fair decision.";"5 class";1;0
25;"Jeopardy ";"Danger of loss, harm, or failure.";"safety, security, protection, surety";"peril, risk, hazard, threat";"The climbers put their lives in jeopardy by attempting to climb the dangerous mountain.";"5 class";1;0
26;"Kin ";"One's family or relatives.";"strangers, non-relatives, unrelated, foreign";"family, relatives, kindred, clan";"I spent the weekend with my kin";"5 class";1;0
27;"Abundance";"A large quantity of something.";"scarcity, dearth, paucity, insufficiency";"plenty, profusion, copiousness, plethora";"The garden was filled with an abundance of colorful flowers.";"5 class";1;0
28;"Boundary";"A dividing line or limit.";"center, interior, inside, middle";"border, edge, limit, perimeter";"The boundary between the two countries is marked by a river.";"5 class";1;0
29;"Cozy";"Comfortable and warm. ";"uncomfortable, cold, unwelcoming, uninviting";"snug, comfortable, homey, inviting";"The living room was cozy with a fireplace and comfortable furniture.";"5 class";1;0
30;"Abundant";"plentiful, in large quantity or amount.";"scarce, meager, limited, insufficien";"ample, copious, bountiful, generous";"The orchard was abundant with ripe apples.";"5 class";1;0
31;"Agility";"the ability to move quickly and easily with grace and control.";"clumsiness, awkwardness, slowness, stiffness";"nimbleness, dexterity, spryness, quickness";"The athlete's agility helped him win the race.";"5 class";1;0
