id,word,word_definition,antonyms,synonyms,example,relevance
659,Apple,A fruit with red or green skin and a white inside,None,"Fruit, Pomme, Orchard apple",I love to eat apples for my snack.,1 class
660,Ball,A round object used for games and sports,"Flat, Square","Sphere, Globe, Orb",Let's go outside and play ball.,1 class
661,Cat,"A small, furry, carnivorous animal with whiskers and retractable claws","Dog, Mouse","Feline, Kitty, Tomcat",My cat loves to play with balls of yarn.,1 class
662,Dog,A domesticated carnivorous mammal with four legs and a tail,"Cat, Bird","Canine, Pooch, Hound",I take my dog for a walk every day.,1 class
663,Elephant,"A large, gray mammal with a long nose and two tusks","Tiny, Small","Pachyderm, Mammoth, Ivory",The elephant at the zoo is so big!,1 class
664,Frog,A cold-blooded amphibian with a smooth skin and long legs for jumping,None,"Toad, Polliwog, Bullfrog",The frog jumped into the pond with a splash.,1 class
665,Girl,A female child,Boy,"Young woman, Daughter, Sister",I have a lot of fun playing with my friends who are girls.,1 class
666,Hat,A head covering worn for warmth or as a fashion accessory,None,"Cap, Bonnet, Beanie",I always wear a hat when it's cold outside.,1 class
667,Ice cream,"A frozen dessert made from milk, cream, sugar, and flavorings",None,"Gelato, Sorbet, Sherbet",I love to eat ice cream on a hot day.,1 class
668,Juice,A drink made from squeezed fruit or vegetables,None,"Nectar, Beverage, Refreshment",My favorite juice is apple juice.,1 class
669,Kite,A toy consisting of a light frame covered with paper or fabric that is flown in the air by a string,None,"Flying toy, Delta, Diamond",We flew a kite at the park on a windy day.,1 class
670,Lion,"A large, carnivorous feline animal with a mane around the neck",None,"King of the jungle, Panthera, Cat",The lion roared loudly at the zoo.,1 class
671,Moon,"The natural satellite of the Earth, visible at night as a bright object in the sky","Sun, Star","Luna, Crescent, Full",The moon looks so pretty tonight!,1 class
672,Nose,The part of the face that protrudes above the mouth and is used for breathing and smelling,"Mouth, Chin","Snout, Proboscis, Nostril",I sneezed and wiped my nose with a tissue.,1 class
673,Owl,A nocturnal bird of prey with large eyes and a hooked beak,None,"Bird of the night, Hooter, Screech",The owl hooted in the tree outside my window.,1 class
674,Pizza,"A dish consisting of a flattened bread dough topped with tomato sauce, cheese, and other toppings",None,"Pie, Slice, Margherita",I love to eat pizza with my favorite toppings.,1 class
675,Queen,A female ruler of a country,"King, President","Monarch, Empress, Princess",The queen wore a beautiful crown and gown.,1 class
676,Water,"A clear liquid that has no taste or smell, and is essential for most forms of life","Dryness, Aridity, Dehydration, Parchedness","H2O, Aqua, Fluid, Wetness",I drink water when I am thirsty.,1 class
677,Worm,"A long, thin creature with no legs or arms, that lives in soil","Mammal, Reptile, Fish, Bird","Invertebrate, Annelid, Nematode, Creature",The worm crawled out of the apple.,1 class
678,Window,An opening in a wall or door that lets in light and air and allows you to see outside,"Wall, Door, Brick, Barrier","Pane, Opening, Portal, Casement",I look out of the window to see the rain.,1 class
679,World,"The earth, together with all of its countries and peoples","Space, Cosmos, Galaxy, Void","Planet, Globe, Earth, Universe",The world is a big place with many different cultures.,1 class
680,Watch,A small timepiece worn on the wrist or carried in a pocket,"Forget, Ignore, Neglect, Miss","Timepiece, Clock, Wristwatch, Stopwatch",I always wear my watch so I know when it's time to go home.,1 class
681,Wind,"The movement of air in the atmosphere, especially a natural and perceptible movement of air","Stillness, Calm, Silence, Inactivity","Breeze, Gust, Draft, Zephyr",The wind blew so hard that it knocked over my chair.,1 class
682,Whale,A very large marine mammal that lives in the ocean,"Land animal, Bird, Fish, Reptile","Cetacean, Moby Dick, Leviathan, Mammal",I saw a whale jump out of the water on TV.,1 class
683,Wig,A covering of artificial hair worn on the head to hide a bald spot or for fun,"Natural hair, Baldness, Shaved head, Short hair","Hairpiece, Toupee, Weave, Extension",I wore a wig to my Halloween party.,1 class
684,Watermelon,"A large, round fruit with green skin, pink flesh, and black seeds","Sour, Bitter, Unripe, Dry","Fruit, Melon, Citrullus lanatus, Sweet",I love to eat watermelon on hot summer days.,1 class
685,Wall,A structure that encloses an area or divides one area from another,"Opening, Entrance, Gate, Door","Barrier, Partition, Divider, Separator",The wall of the castle was very tall and thick.,1 class
686,Wormhole,A hypothetical tunnel-like connection through space-time that could create shortcuts for long journeys across the universe,"Realism, Science, Physics, Logic","Hyperspace, Stargate, Portal, Black hole","In science fiction, spaceships travel through wormholes to reach faraway planets.",1 class
687,Wish,A desire or hope for something to happen,"Reality, Fact, Certainty, Truth","Desire, Dream, Aspiration, Ambition",I wish for a puppy for my birthday.,1 class
688,Winter,"The coldest season of the year, occurring between autumn and spring","Warm, Hot, Summer, Spring","Cold, Snowy, Frosty, Freezing",I wear a warm coat and hat in winter to stay cozy.,1 class
689,Wolf,"A wild carnivorous mammal of the dog family, living and hunting in packs","Prey, Herbivore, Domestic animal, Pet","Canine, Predator, Hunter, Beast",The wolf howled at the moon in the dark forest.,1 class
690,Orange,A round citrus fruit with a tough bright reddish-yellow skin and sweet or sour juicy pulp.,"Apple, Banana, Pear, Plum","Citrus, Tangerine, Mandarin, Clementine",I ate an orange after lunch today.,1 class
691,One,Referring to the number 1.,"Multiple, Several, Many, Numerous","Single, Solitary, Unique, Individual",I have one pencil in my pencil case.,1 class
692,Owl,A nocturnal bird of prey with large eyes and a hooked beak.,"Dove, Pigeon, Finch, Canary","Bird of prey, Raptor, Falcon, Eagle",The owl hoots at night.,1 class
693,Ocean,"A very large expanse of sea, in particular each of the main areas into which the sea is divided geographically.","Land, Island, Continent, Shore","Sea, Seawater, Brine, Main",The ocean is so vast and deep.,1 class
694,Octopus,"A cephalopod mollusk with eight sucker-bearing arms, a soft sac-like body, and a beak, typically able to change color or release ink for defense.","Mammal, Bird, Fish, Reptile","Squid, Cuttlefish, Nautilus, Mollusk",The octopus is a fascinating sea creature.,1 class
695,Oval,A shape like a stretched circle or an egg.,"Square, Rectangle, Triangle, Circle","Ellipse, Ovoid, Oblong, Egg-shaped",The football field is oval-shaped.,1 class
696,Orange Juice,"A drink made from oranges, usually served at breakfast.","Cola, Lemonade, Soda, Energy drink","Fruit juice, Citrus juice, Breakfast juice, Fresh juice",I had a glass of orange juice with my breakfast.,1 class
697,Ostrich,"A large flightless bird with a long neck, long legs, and two toes on each foot.","Pigeon, Finch, Canary, Sparrow","Bird, Fowl, Emu, Cassowary",The ostrich is the fastest bird on land.,1 class
698,Oak,"A tree that bears acorns as fruit, and typically has lobed deciduous leaves.","Bush, Shrub, Palm, Fern","Tree, Hardwood, Forest, Grove",The oak tree has strong and sturdy wood.,1 class
699,Open,"Allowing access, passage, or a view through an empty space.","Closed, Shut, Sealed, Private","Unlocked, Unsealed, Accessible, Available",Please leave the door open.,1 class
700,Old,"Having lived for a long time, no longer young.","Young, New, Fresh, Modern","Aged, Elderly, Senior, Ancient",My grandfather is very old.,1 class
701,Onion,"A swollen edible bulb used as a vegetable, having a pungent taste and smell and composed of several concentric layers.","Fruit, Grape, Pear, Orange","Vegetable, Shallot, Scallion, Leek",The onion makes me cry when I cut it.,1 class
702,Out,"Moving or appearing to move away from a particular place, especially one that is enclosed or hidden.","Inside, Interior, Within, Present","Outside, Exterior, Beyond, Absent",Let's go out and play in the sun.,1 class
703,Mango,A sweet fruit,None,"Nectarine, peach",I love to eat mangoes in the summer.,1 class
704,Mouse,A small rodent,"Cat, dog","Rat, rodent",A mouse lives in a hole in the wall.,1 class
705,Music,Sound in a pleasing arrangement,"Noise, cacophony","Melody, harmony",I like to dance to music.,1 class
706,Moon,A natural satellite of the Earth,"Sun, Earth","Satellite, orbit",The moon looks beautiful in the night sky.,1 class
707,Monkey,A type of primate,None,"Ape, baboon",The monkey swung from tree to tree.,1 class
708,Map,A visual representation of an area,None,"Atlas, chart",We used a map to find our way to the park.,1 class
