S.No.,Class / Age,Hyperbole,Meaning,Example Sentence
469,1 class,I'm so hungry I could eat a horse.,I'm very hungry.,"I didn't have breakfast this morning, I'm so hungry I could eat a horse."
470,1 class,My backpack weighs a ton.,My backpack is very heavy.,"I have so many books in my backpack, it weighs a ton."
471,1 class,I've told you a million times.,I've told you many times.,"I keep reminding you to tie your shoelaces, I've told you a million times."
472,1 class,The playground is as big as a football field.,The playground is very large.,"There's so much space to run and play, the playground is as big as a football field."
473,1 class,I have a million things to do today.,I have many things to do today.,"I have to finish my homework, practice piano, and go to soccer practice, I have a million things to do today."
474,1 class,This pencil is as long as a giraffe's neck.,The pencil is very long.,"This pencil is so long, it's as long as a giraffe's neck."
475,1 class,The line for the water fountain is a mile long.,The line is very long.,"There are so many students waiting in line for the water fountain, it's a mile long."
476,1 class,I have eyes in the back of my head.,I'm aware of everything that's happening.,"I know you're trying to sneak up on me, but I have eyes in the back of my head."
477,1 class,I could sleep for a year.,I'm very tired.,"I stayed up late studying last night, I could sleep for a year."
478,1 class,The ice cream is as cold as Antarctica.,The ice cream is very cold.,I can feel brain freeze because the ice cream is as cold as Antarctica.
479,1 class,My feet are killing me.,My feet are very sore.,"I walked all day at the amusement park, my feet are killing me."
480,1 class,I have a ton of homework.,I have a lot of homework.,"I have math, reading, and spelling homework tonight, I have a ton of homework."
481,1 class,This pencil is as thin as a toothpick.,The pencil is very thin.,"This pencil is so thin, it's as thin as a toothpick."
482,1 class,My brain is fried.,I'm mentally exhausted.,"I've been studying for hours, my brain is fried."
483,1 class,The library is as quiet as a mouse.,The library is very quiet.,"We have to be quiet in the library, it's as quiet as a mouse."
484,1 class,I'm running as fast as a cheetah.,I'm running very fast.,"I want to be the first one to the finish line, so I'm running as fast as a cheetah."
485,1 class,This glue is as sticky as a spider's web.,The glue is very sticky.,"I can't get my hands unstuck, this glue is as sticky as a spider's web."
486,1 class,The sun is as hot as fire.,The sun is very hot.,"I can feel the heat on my skin, the sun is as hot as fire."
487,1 class,This marker is as thick as a tree trunk.,The marker is very thick.,"This marker is so thick, it's as thick as a tree trunk."
488,1 class,He ate a million cookies.,He ate a lot of cookies.,"He loves cookies so much, he must have eaten a million cookies."
489,1 class,She ran a thousand miles.,She ran a long distance.,"She ran so fast and so far, it felt like she ran a thousand miles."
490,1 class,He is as strong as a superhero.,He is very strong.,"He lifted the heavy box with ease, he is as strong as a superhero."
491,1 class,She is as light as a feather.,She is very light.,"When I picked her up, she felt like a feather, she is as light as a feather."
492,1 class,He has eyes as big as saucers.,He has very big eyes.,"When he saw the surprise, his eyes opened wide and were as big as saucers."
493,1 class,She is as fast as a cheetah.,She runs very fast.,"During the race, she ran so fast, she was as fast as a cheetah."
494,1 class,He is as tall as a giraffe.,He is very tall.,"When he stood up, he was as tall as a giraffe."
495,1 class,She has a smile as wide as a rainbow.,She has a very big smile.,"Whenever she smiles, her smile is as wide as a rainbow."
496,1 class,He has a brain as big as a planet.,He is very intelligent.,"He always gets good grades, his brain is as big as a planet."
497,1 class,She has a heart as pure as gold.,She is very kind.,"Whenever someone needs help, she is always there, her heart is as pure as gold."
498,1 class,He has feet as big as boats.,He has very big feet.,"When he put on his new shoes, they looked so small on his feet, which are as big as boats."
499,1 class,She is as quiet as a mouse.,She is very quiet.,"During the movie, she didn't make a sound, she was as quiet as a mouse."
500,1 class,He is as brave as a lion.,He is very brave.,"When he saw the spider, he wasn't scared at all, he is as brave as a lion."
501,1 class,She is as sweet as candy.,She is very kind.,"Whenever someone is sad, she always makes them feel better, she is as sweet as candy."
502,1 class,He has hands as big as baseball gloves.,He has very big hands.,"When he tried on the new gloves, they looked so small on his hands, which are as big as baseball gloves."
503,1 class,She is as strong as an ox.,She is very strong.,"She lifted the heavy box with ease, she is as strong as an ox."
