id,idiom,meaning,example,relevance
232,All ears,Listening attentively,"I'm all ears, tell me your story.",1 class
233,Apple of my eye,Something or someone cherished above all others,My new puppy is the apple of my eye.,1 class
234,Busy as a bee,Very busy or industrious,I'm busy as a bee trying to finish my homework.,1 class
235,Cat got your tongue,Unable to speak or at a loss for words,Why aren't you answering my question? Has the cat got your tongue?,1 class
236,Cold feet,To become nervous or hesitant,"I was going to try out for the play, but I got cold feet.",1 class
237,Couch potato,Someone who spends a lot of time sitting and watching television,"My little brother is such a couch potato, he never wants to play outside.",1 class
238,Cry over spilled milk,To be upset over something that cannot be changed,"Don't cry over spilled milk, let's figure out how to fix the problem.",1 class
239,Curiosity killed the cat,Being too curious can lead to trouble,"Don't snoop around too much, remember curiosity killed the cat.",1 class
240,Cut to the chase,To get to the point quickly,Stop beating around the bush and cut to the chase.,1 class
241,Elephant in the room,An obvious problem that no one wants to talk about,"Everyone could tell something was wrong, but no one wanted to address the elephant in the room.",1 class
242,Fish out of water,To feel uncomfortable or out of place,I feel like a fish out of water at this new school.,1 class
243,Hit the nail on the head,To be exactly right about something,"You hit the nail on the head, that's exactly what I was thinking.",1 class
244,In hot water,To be in trouble,I'm in hot water for not turning in my homework.,1 class
245,Jump the gun,To act too soon or prematurely,"Don't jump the gun, let's wait for all the facts before making a decision.",1 class
246,Keep your chin up,To stay positive in a difficult situation,"Keep your chin up, things will get better soon.",1 class
247,Let the cat out of the bag,To reveal a secret,I accidentally let the cat out of the bag about the surprise party.,1 class
248,Make a long story short,To tell a story briefly,"To make a long story short, we got lost on the way to the movie theater.",1 class
249,On the same page,To be in agreement,It's important that we're on the same page about the project.,1 class
250,Piece of cake,Something that is very easy to do,This math problem is a piece of cake.,1 class
251,Put all your eggs in one basket,To risk everything on one plan or idea,"Don't put all your eggs in one basket, make sure you have a backup plan.",1 class
252,A piece of cake,Very easy,The test was a piece of cake for me.,1 class
253,Barking up the wrong tree,Making a mistake or wrong assumption,"If you think I stole your money, you're barking up the wrong tree.",1 class
630,A good day,A day where everything goes well and you are happy,"Today was a good day, I got to play with my friends and eat my favorite food.",1 class
631,A good friend,"Someone who is kind, helpful, and fun to be around","Sarah is a good friend, she always shares her toys and makes me laugh.",1 class
632,A good job,Doing something well and earning praise or recognition for it,"You did a good job on your drawing, it's very colorful and creative.",1 class
633,A good listener,Someone who pays attention to what others are saying and tries to understand,"Mrs. Smith is a good listener, she always listens to our questions and answers them patiently.",1 class
634,A good mood,"Feeling happy, positive, and energized","After playing outside, I'm in a good mood and ready to learn.",1 class
635,A good night's sleep,Sleeping well and feeling rested in the morning,"I had a good night's sleep, I woke up feeling refreshed and ready for the day.",1 class
