id,metaphor,meaning,example,relevance
558,In a nutshell,To summarize something briefly,"In a nutshell, the movie was about a group of friends going on an adventure.",Prep Class
559,In hot water,In trouble or facing consequences for one's actions,He was in hot water after getting caught cheating on the test.,Prep Class
560,In the driver's seat,To be in control or have power over a situation,"After getting promoted, she was in the driver's seat and able to make important decisions.",Prep Class
561,It's raining cats and dogs,Heavy rainfall,"It's raining cats and dogs outside, so make sure to bring an umbrella.",Prep Class
562,It's a piece of cake,Something that is easy to do,"Don't worry, this math problem is a piece of cake.",Prep Class
563,In the same boat,To be in a similar situation as someone else,"They were both struggling with the same problem, so they were in the same boat.",Prep Class
564,Iron out the kinks,To resolve issues or problems,The team needed to iron out the kinks in their plan before presenting it to the boss.,Prep Class
565,It's a small world,The world can seem small or interconnected,She ran into an old friend at the airport and realized it's a small world after all.,Prep Class
566,In the nick of time,Just in time or at the last moment,The ambulance arrived in the nick of time and saved his life.,Prep Class
567,It's a jungle out there,The world can be a challenging and competitive place,"She was nervous about starting a new job, but her friend reminded her that it's a jungle out there.",Prep Class
568,In the spotlight,To be the center of attention or focus,The singer was in the spotlight and gave an amazing performance.,Prep Class
569,It's a rollercoaster ride,To experience a lot of ups and downs or changes,Starting college can be a rollercoaster ride of emotions and experiences.,Prep Class
570,In the same boat,To be in a similar situation as someone else,"They were both struggling with the same problem, so they were in the same boat.",Prep Class
571,Ice on the cake,Something that makes a good situation even better,"Getting a promotion was great, but getting a raise was the ice on the cake.",Prep Class
572,In the doghouse,To be in trouble or out of favor with someone,He forgot his anniversary and was in the doghouse with his wife.,Prep Class
573,Jump the gun,To act too soon or before it's appropriate,He jumped the gun and made the announcement before the team was ready.,Prep Class
574,Just what the doctor ordered,Something that is exactly what is needed or wanted,"After a long day, a relaxing bath was just what the doctor ordered.",Prep Class
575,Jekyll and Hyde,To have two different sides or personalities,"His behavior was like Jekyll and Hyde, one minute he was nice and the next he was angry.",Prep Class
576,Join the ranks,To become a member of a group or organization,"After passing the test, he was excited to join the ranks of the company.",Prep Class
577,Juggling act,To manage multiple things at once,"Being a parent and working full time can be a juggling act, but it's possible to balance both.",Prep Class
578,Judge a book by its cover,To form an opinion based on appearance rather than facts or knowledge,"She thought the book would be boring because of the cover, but after reading it, she realized not to judge a book by its cover.",Prep Class
579,Jigsaw puzzle,A complex or complicated problem or situation,"Solving the math problem was like a jigsaw puzzle, but after some effort, she was able to figure it out.",Prep Class
580,Jaws of death,A dangerous or life-threatening situation,The hiker found himself in the jaws of death when he encountered a grizzly bear.,Prep Class
581,Jump for joy,To be very happy or excited,She jumped for joy when she found out she got into her dream college.,Prep Class
582,Jack of all trades,Someone who has many different skills or abilities,He was a jack of all trades and could do anything from fixing a car to baking a cake.,Prep Class
583,Junk food for thought,Something that is not intellectually stimulating or useful,"The TV show was like junk food for thought, it didn't require much thinking or analysis.",Prep Class
584,Backbone,The most important or essential part of something,The backbone of a good essay is a strong thesis statement.,Prep Class
585,Ball of fire,Someone or something that is energetic and enthusiastic,"She's a ball of fire on the dance floor, always moving and having fun.",Prep Class
586,Bare bones,The most basic or essential parts of something,"The presentation had only the bare bones of the project, we needed more details.",Prep Class
587,Barking up the wrong tree,To make a mistake or have a false belief about something,"He thought the answer was in the textbook, but he was barking up the wrong tree, it was in the lecture notes.",Prep Class
588,Bear fruit,To produce positive or beneficial results,The extra study sessions really paid off and started to bear fruit in the form of higher grades.,Prep Class
589,Beating around the bush,To avoid addressing the main issue or topic,"Instead of answering the question directly, he kept beating around the bush, making it difficult to understand his point.",Prep Class
590,Bed of roses,A comfortable or easy situation,"Life isn't always a bed of roses, sometimes we face challenges and obstacles.",Prep Class
591,Bee in your bonnet,To be obsessed with something or have an idea that won't go away,She had a bee in her bonnet about finding the perfect wedding dress.,Prep Class
592,Bend over backwards,To make an extra effort or do something difficult to help someone,She bent over backwards to make sure her friend's surprise party was a success.,Prep Class
593,Big cheese,Someone who is important or influential,"The CEO of the company is the big cheese, the one who makes the final decisions.",Prep Class
594,Curious as a cat,Being very interested in knowing something,Jimmy is curious as a cat about what's inside the box.,Prep Class
595,Crybaby,A person who cries a lot or easily,"Don't be such a crybaby, it's just a small scratch.",Prep Class
596,Cold as ice,Being unfriendly or unfeeling,The teacher was as cold as ice when the students asked for help.,Prep Class
597,Crazy as a fox,Being clever or shrewd,My grandfather is crazy as a fox when it comes to making deals.,Prep Class
598,Cautious as a mouse,Being careful and quiet,The baby was cautious as a mouse when he walked on the icy path.,Prep Class
599,Clean as a whistle,Being very clean or spotless,The kitchen was clean as a whistle after the maid finished cleaning it.,Prep Class
600,Clumsy as an elephant,Being awkward or uncoordinated,John was as clumsy as an elephant when he tried to dance.,Prep Class
601,Cute as a button,Being adorable or charming,The little girl's dress was cute as a button.,Prep Class
602,Cloud nine,Being extremely happy,Winning the championship put me on cloud nine.,Prep Class
603,Cat nap,A short nap,I'm going to take a cat nap before dinner.,Prep Class
604,Cool as a cucumber,Being calm and composed,The athlete was cool as a cucumber before the big game.,Prep Class
605,Cross as a bear,Being very angry or irritable,The manager was cross as a bear when he found out about the mistake.,Prep Class
606,Cowardly lion,A person who is afraid despite being brave or strong,The little boy acted like a cowardly lion when he saw the spider.,Prep Class
607,Cutting edge,Being very modern or innovative,The new phone has cutting-edge technology.,Prep Class
608,Cry over spilled milk,To worry or get upset about something that cannot be changed,"Don't cry over spilled milk, just clean it up and move on.",Prep Class
609,Copycat,A person who imitates others,Mary is a copycat and always copies her friend's homework.,Prep Class
610,Curly as a pig's tail,Being very curly or wavy,Her hair was curly as a pig's tail after swimming in the ocean.,Prep Class
611,Crocodile tears,Fake or insincere tears,She shed crocodile tears to get sympathy from her parents.,Prep Class
612,Cross my heart and hope to die,Making a promise or pledge,"I promise to be your friend, cross my heart and hope to die.",Prep Class
613,Chatterbox,A person who talks a lot,The little girl is a chatterbox and talks all the time.,Prep Class
614,Cheap as dirt,Being very inexpensive,"The toy was cheap as dirt, but the child loved it.",Prep Class
615,Crazy glue,A very strong adhesive,Use the crazy glue to fix the broken vase.,Prep Class
616,Couch potato,A person who spends a lot of time sitting and watching TV,My uncle is a couch potato and watches TV all day.,Prep Class
617,Cross your fingers,Hoping for good luck or success,"Cross your fingers for me, I have a big test tomorrow.",Prep Class
618,Catch some z's,To sleep or take a nap,"After playing outside all day, the child was ready to catch some z's.",Prep Class
619,Cut to the chase,To get to the point,Stop beating around the bush and cut to the chase.,Prep Class
620,Dancing flowers,Flowers that sway in the breeze,The dancing flowers looked so pretty in the garden.,Prep Class
621,Dazzling sun,A bright and shining sun,The dazzling sun made the beach look beautiful.,Prep Class
622,Dreamland,A place where you have happy dreams,"When I went to bed, I visited dreamland.",Prep Class
623,Daring pirate,A brave and adventurous pirate,The daring pirate sailed the high seas.,Prep Class
624,Dancing leaves,Leaves that move in the wind,The dancing leaves rustled in the breeze.,Prep Class
625,Diamond stars,Stars that twinkle like diamonds in the sky,The diamond stars looked so beautiful on a clear night.,Prep Class
626,Drumming rain,Rain that falls heavily and makes a sound like a drum,The drumming rain made me want to stay inside.,Prep Class
627,Drowsy bear,A sleepy and tired bear,The drowsy bear yawned and went back to sleep.,Prep Class
628,Daring knight,A brave and heroic knight,The daring knight rode his horse into battle.,Prep Class
629,Dandelion wishes,Making a wish and blowing the seeds off a dandelion,We made dandelion wishes in the field.,Prep Class
630,Dainty butterfly,A small and delicate butterfly,The dainty butterfly landed on the flower.,Prep Class
631,Dappled sunlight,Sunlight that filters through the trees and creates spots of light,The dappled sunlight made the forest look magical.,Prep Class
632,Dancing raindrops,Raindrops that fall in a rhythmic pattern,The dancing raindrops made a beautiful sound on the roof.,Prep Class
633,Dancing flames,Flames that move and flicker in the wind,The dancing flames in the fireplace kept us warm.,Prep Class
634,Diamond snowflakes,Snowflakes that sparkle like diamonds in the sunlight,The diamond snowflakes made the winter landscape look magical.,Prep Class
635,Delicious words,Words that are pleasant to hear,The teacher's words were like delicious candy for our ears.,Prep Class
636,Diamond water,Water that sparkles and shines like diamonds,The diamond water in the lake looked so clear and clean.,Prep Class
637,Daring explorer,A brave person who explores new places,The daring explorer went to the jungle to search for treasure.,Prep Class
638,Dreamy clouds,Clouds that look like they belong in a dream,The dreamy clouds in the sky looked so fluffy and soft.,Prep Class
639,Delicate snowflakes,Snowflakes that are small and fragile,The delicate snowflakes fell softly on the ground.,Prep Class
640,Dancing fireflies,Fireflies that light up and dance in the air,The dancing fireflies made the night seem magical.,Prep Class
641,Daring acrobat,A brave and skilled acrobat,The daring acrobat performed amazing stunts on the trapeze.,Prep Class
