id,simile,meaning,example,relevance
582,Brave like a lion,Very brave and courageous,The firefighter was brave like a lion when he rescued the people from the burning building.,Prep Class
583,Strong like an ox,Very strong and powerful,The weightlifter was strong like an ox when he lifted the heavy barbell.,Prep Class
584,Sweet like candy,Very sweet and enjoyable,The cake was sweet like candy with its sugary frosting and chocolate chips.,Prep Class
585,Hungry like a wolf,Very hungry and eager to eat,"After a long hike, I was hungry like a wolf and ate a big sandwich.",Prep Class
586,Quick like a rabbit,Very fast and agile,The athlete was quick like a rabbit when he ran the race.,Prep Class
587,Shiny like a star,Very bright and glowing,The diamond was shiny like a star in the sunlight.,Prep Class
588,Happy like a clam,Very happy and content,"After a day at the beach, the children were happy like clams.",Prep Class
589,Small like a mouse,Very small in size,"The baby kitten was small like a mouse, fitting in the palm of my hand.",Prep Class
590,Slippery like an eel,Very difficult to hold on to or catch,"The fish was slippery like an eel, making it hard to catch with a net.",Prep Class
591,Smooth like butter,Very smooth and easy,The car's engine ran smoothly like butter.,Prep Class
592,Good as gold,Very well-behaved and obedient,The children were good as gold during the school assembly.,Prep Class
593,Good as new,"In excellent condition, like it was just made","After the bike was repaired, it looked good as new.",Prep Class
594,Good as pie,Very easy and enjoyable,The math problems were good as pie for the student who loved numbers.,Prep Class
595,Good as sunshine,Very cheerful and happy,The little girl was good as sunshine with her bright smile and positive attitude.,Prep Class
596,Good as gravy,Very enjoyable and satisfying,"The pizza was good as gravy, with all of its delicious toppings.",Prep Class
597,Good as a hug,Very comforting and reassuring,"The mother's hug was good as a hug, making her child feel safe and loved.",Prep Class
598,Good as a rainbow,Very colorful and bright,"The flowers in the garden were good as a rainbow, with all their different colors.",Prep Class
599,Good as a whistle,Very clear and easy to understand,"The teacher's explanation was good as a whistle, making the concept easy to grasp.",Prep Class
600,Good as goldfish,Very easy to take care of,"The pet goldfish was good as goldfish, requiring very little maintenance.",Prep Class
601,Good as a saint,Very kind and compassionate,"The nurse was good as a saint, always taking care of her patients with care and empathy.",Prep Class
602,As light as a feather,Very light,The tissue was as light as a feather in her hand.,Prep Class
603,As busy as a bee,Very busy and productive,The ants were as busy as bees carrying food to their nest.,Prep Class
604,As big as a house,Very large,"The elephant was as big as a house, towering over the other animals.",Prep Class
605,As brave as a lion,Very brave and courageous,The firefighter was as brave as a lion when he rescued the family from the burning house.,Prep Class
606,As cool as a cucumber,Very calm and composed,"The singer was as cool as a cucumber, even though there were thousands of people watching her perform.",Prep Class
607,As easy as pie,Very easy and simple,Learning to ride a bike was as easy as pie for the child.,Prep Class
608,As fast as lightning,Very quick and speedy,"The athlete ran as fast as lightning, winning the race by a long shot.",Prep Class
609,As hard as a rock,Very tough and unyielding,"The diamond was as hard as a rock, which made it valuable.",Prep Class
610,As hungry as a bear,Very hungry,The little girl was as hungry as a bear after playing outside all day.,Prep Class
611,As light as a feather,Very light,"The balloon was as light as a feather, floating gently in the air.",Prep Class
612,As loud as thunder,Very loud and powerful,"The thunder was as loud as thunder, shaking the windows of the house.",Prep Class
613,As pale as a ghost,Very pale and white,The little boy was as pale as a ghost after getting scared from the horror movie.,Prep Class
614,As red as a tomato,Very red,"The ripe tomato was as red as a tomato, ready to be picked.",Prep Class
615,As slippery as an eel,Very hard to catch or hold onto,"The fish was as slippery as an eel, wriggling out of the fisherman's hands.",Prep Class
616,As sweet as candy,Very sweet and pleasant,"The candy was as sweet as candy, satisfying the child's sweet tooth.",Prep Class
617,As tall as a tree,Very tall,"The basketball player was as tall as a tree, towering over the other players on the court.",Prep Class
618,As white as snow,Very white,"The snow was as white as snow, covering the ground in a thick blanket.",Prep Class
619,As sly as a fox,Very clever and cunning,"The cat was as sly as a fox, sneaking up on the mouse.",Prep Class
620,As quiet as a mouse,Very quiet and silent,"The library was as quiet as a mouse, with everyone reading in silence.",Prep Class
621,As soft as a pillow,Very soft and comfortable,"The bed was as soft as a pillow, making it easy to fall asleep.",Prep Class
622,As bright as the sun,Very bright and shiny,"The sun was as bright as the sun, warming up the earth.",Prep Class
623,As dark as night,Very dark,"The room was as dark as night, with no light coming in.",Prep Class
624,As gentle as a lamb,Very kind and gentle,"The grandmother was as gentle as a lamb, taking care of her grandchildren.",Prep Class
625,As green as grass,Very green,"The grass was as green as grass, perfect for playing outside.",Prep Class
626,As agile as a cat,Quick and nimble,The gymnast was as agile as a cat.,Prep Class
627,As curious as a cat,Inquisitive and nosy,"The toddler was as curious as a cat, always poking around.",Prep Class
628,As cunning as a cat,Clever and sneaky,"The thief was as cunning as a cat, always finding a way to steal.",Prep Class
629,As fat as a cat,Overweight,The cat ate too much and became as fat as a cat.,Prep Class
630,As fierce as a cat,Aggressive and threatening,"The dog barked at the cat, who became as fierce as a cat to defend itself.",Prep Class
631,As fluffy as a cat,Soft and puffy,"The kitten was as fluffy as a cat, with its thick fur.",Prep Class
632,As graceful as a cat,Elegant and smooth,The dancer moved as gracefully as a cat across the stage.,Prep Class
633,As lazy as a cat,Lacking energy or motivation,"The boy lay on the couch all day, as lazy as a cat.",Prep Class
634,As playful as a cat,Fun-loving and energetic,"The kids ran around the park, as playful as cats.",Prep Class
635,As sly as a cat,Devious and cunning,"The politician was as sly as a cat, always manipulating the situation to their advantage.",Prep Class
636,As sneaky as a cat,Secretive and furtive,"The thief crept into the house, as sneaky as a cat, to avoid being seen.",Prep Class
637,As soft as a cat,Gentle and smooth,The baby's skin was as soft as a cat's fur.,Prep Class
638,As stealthy as a cat,Quiet and unobtrusive,"The spy moved as stealthily as a cat, so as not to alert anyone.",Prep Class
639,As swift as a cat,Fast and rapid,"The athlete ran as swiftly as a cat, winning the race.",Prep Class
640,As timid as a cat,Shy and easily scared,"The girl was as timid as a cat, hiding behind her mother.",Prep Class
641,As tiny as a cat,Small and miniature,"The kitten was as tiny as a cat, fitting in the palm of your hand.",Prep Class
642,As wild as a cat,Uncontrolled and unruly,"The kids were as wild as cats, running and shouting in the backyard.",Prep Class
643,As independent as a cat,Self-sufficient and autonomous,"The teenager wanted to be as independent as a cat, doing things on their own.",Prep Class
644,As nocturnal as a cat,Active at night,"The owl was as nocturnal as a cat, hunting prey in the darkness.",Prep Class
645,As affectionate as a cat,Loving and caring,"The dog was as affectionate as a cat, always wagging its tail when its owner came home.",Prep Class
646,As clean as a cat,Tidy and hygienic,The girl cleaned her room as if she were as clean as a cat.,Prep Class
647,As cuddly as a cat,Loving and snuggly,"The baby was as cuddly as a cat, always wanting to be held.",Prep Class
648,As curious as a cat,Inquisitive and nosy,"The toddler was as curious as a cat, always poking around.",Prep Class
649,As domestic as a cat,Tame and domesticated,"The cow was as domestic as a cat, always mooing in the same place.",Prep Class
